product,date,title,rating,review_list
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 12 August 2021,My personal experience,4,"The media could not be loaded.
                



 Jst loved it but .... Sadly it's not for the ones who get inner ear drum pain and headache using fully covered ear buds .... If u need an outer ear safe music experience then go for neckbands ❤️ btw this product is jst love 💓 only issue is its scratched charging indicated and case , whn I bought this it was portrayed to be pOut of stock but I ordered and it reached me within 4 days of placing order this is my first eva product review jst wanna convey this hope it's helpful ✨ fa u guys .... Tq , bought tdy and gonna return it tdy that's the sad thing bout it ... Tried to get used to it but cannot "" Lemme see for a couple of days and proceed with my return ... But sure tht I'll return this due to Freq head aches ... Already tested it twice both in high and average sound !!"""
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 21 January 2021,Connectivity issues in the first pair; left earbud button not working properly in the replacement.,1,"The first pair of earbuds that I received had bluetooth connectivity issues with the left earbud, which used to get disconnected whenever I used Pause or Play Next button either on the earbuds or in the phone. Sent it back for replacement and received an used or refurbished pair, which had scratches on the LED display and the earbuds looked used. This time the button on the left earbud was not working properly and I had to ask for a refund.However Amazon gets 5 stars from me because the whole process of asking for replacement and refund was very smooth and easy. Just a couple of clicks on the app and it was done. Replacement was done the next day, and finally the return and refund in two days."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 14 November 2020,Highy Recommended,5,Wonderful and perfect Airpods.I liked it very much.Pros:-1) Sound and Bass is awesome you will really enjoy the songs which has heavy bass.2) Airpods are small and compact which makes it really cute and cool.3) Battery Backup is very good you can you your earpods for approx 3 hours and case charges the buds approx 2.5 to 3 times.4) LED battery indicator is very much convenient and stylish.5) Mic is awesome. No any issues of disconnection the other one can here you easily even when you are talking slow.6) Have buttons instead of touch which is more convenient to use.Cons:-1) Case quality can be better.2) Range is only about 8 mtrs not 10.
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 6 November 2021,Don't buy these earpieces!,1,"The media could not be loaded.
                



 Don't buy these earpieces, they disconnect so much that you end up not using them. Left and right have issues connecting with each other, one connect then other keeps on searching to pair, thanks to grace of God you do end up connecting without issue then once you recharge them, they won't connect.The issue resolves only when you keep them aside for couple of hours, so if you end up not using them as intended, then what's the point of purchasing them?"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 2 August 2021,Wonderful value of money,5,"The media could not be loaded.
                



 Nice product value of money its good sound quality is superb it need a soft handle great for girls its sounds like we are in cinema theatre"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 25 January 2021,My Expereince was not good with this product,1,"Hi, whosoever is looking for this particular product,This product has very low Bluetooth connectivity.Also, there is no Noise cancelation and too much disturbance in the voice.Talking about the sound quality --sound quality is good if you are listening song in an empty room.(I am not sure this is only with a particular product that I got or with all the product) but these are the things that I am facing."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 1 November 2020,"Very nice,charming,stunning,wonderful and beautiful product.fit to ears and no threat to drop.",5,"I just receive the item,It is really marvellous,stunning,beautiful,gorgeous,nice looking and attractive product in 999,I am highly satisfied by this cute product,It is really a wonderful gift from Amazon,Many many thanx.It is completely fit in ears,totally no threat to drop from ears,Sound quality is superb and fantastic."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 26 April 2021,Submitting review after 4-5 months of regular usage,5,"Value dor money , i got it for 850 , can't ask for more in it. Still if u want details here goes.1. Amazing battery backup of case, lasts for 5-6 days (Real time). we can charge earplugs actually 3 times  100 % from the case and each earplug charge lasts 6-7 hours. Preety sick.2. Music wise sound is good.. dnt expect a boss, JBL quality sound as this is just Rs. 850(its a complement that this price band earphones are being compared to such expensive ones) -SOUND'S GOOD3. SOUND QUALITY and CONNECTIVITY is below average while taking calls .I dnt use it on calls at all now. (no complaints, its good with music4. Above average base and clwar music sound.In such rates no proper brands product is available and what i got is a steal.Go for it or else ur call , jo marzi karo. chao"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 4 March 2021,"Very bad, please don't buy",5,"You guys please take my review seriously.....When I ordered it first time, everything was working normal. But suddenly within 3 days, the display of charging case hanged to 80%. Neither it was moving further 80% in charging, nor it was decreasing when I put my earbuds in the charging. Then I decided to replace. When I got the new one in the replacement, the battery of earbuds was 70%. When I put it in the charging case, the battery of case was 100% even the battery of earbuds was 70%, it was not automatically charging. Then When I put it in the charging when it needs only 30% of the charge, my battery of charging case decreased from 100 to 25% directly even when it's feature was to charge the earbuds 3 times.I request you guys not to buy this product...I only hope you all to trust me..."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 14 December 2020,"Superb Bass, Sound Quality, Matt finish. Make is Sturdy. Connectivity I give 3 stars",4,"I bought these Airdopes by Beat on Amazon during the Diwali 2020 offer at a dirt cheap price of Rs. 999 only. The product arrived in a tight sealed box in a good condition. The case is nice & compact (your one finger size) with boat printed on top and a charging slot at its back. The box came with its own charging wire & some extra buds. At first the case opens and shuts looking a bit loose, but its just magnetic, so you'll get used to it.For a day or so the airdopes will consume enough battery from the case, which is normal as it even happens with new phones. So give it time. After a day, it performs better. So, if you charge the case to 100% and keep the earbuds inside the case, the battery drops really slow. Which is good. There is a digital display inside the case indicating the battery level and while charging it blinks as well, so you can see the charge level. (This was all about the case and while the pods are inside it).About the earbuds/pods itself, the aesthetics are sober, matt finished, and very sturdy even if you drop it hard. Comfortable to wear in my ears for prolonged hours. Both the earbuds have a click button where boat is written. With one click you can play/pause, attend a call, or with long press do various functions. There is no volume control (main drawback). Sound quality and bass is fantastic. Bluetooth connectivity is really good if the phone/laptop/any device is in close proximity. I gave 3 stars for connectivity coz the connectivity drops as I move from one room to another and need to have my phone in clear path or close to me. So, that's a bit annoying if you're on a call. But as soon as you come into the range of your device, it connects automatically and instantly. Keeping it balanced. It's great for music, watching movies, videos, call experience is ok ok (need to talk a bit loudly or cover your mouth for better experience). Battery life of the earbuds is fantastic. I use it for upto 24 hours or more at a single charge. I bought it mainly for music experience. Been over a month I'm using it just fine. No complaints."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 23 January 2021,Not happy!,3,"Quite a bad buy.It's been a month I am using it and I find the product quite substandard.To begin with, sound quality is nothing extraordinary to write home about. It's average. But not deal breaker.While the manual says the dock can charge the pods a couple of times, practically it can at best charge twice. Not very impressive.The fitting is also not very snug. Has high chances of falling off if you are not careful.The real deal breaker is connectivity.The pod keeps losing connectivity every 20-25 mins while watching a movie (haven't experienced it over calls) and it is quite irritation. Haven't figured out the reason yet. I need to wait for it to reconnect again, which it does.Call quality is also not very happening. The mic is not very sensitive and hence we need to talk louder to make ourselves heard.Overall, I would suggest that you pay slightl more and go for a better model."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 20 March 2021,Not very user friendly and Convenient Ear phones,1,"First thing first it is not returnable but only replaceable. So if it doesn't suit you, there is no point of replacement. Second thing is, one need to really make efforts to take the ear drops out from the box. They cant't be taken out so easily and some times fall down in the process.  The size of the covers provided with the ear drops is not suitable for small size ears. Even while using with the smallest size of covers, it drops from the ears. You may visualise the discomfort and difficulty in case you are using during travel in a Bus, Train or Aircraft and with little bit of shaking of head if it drops then you had it. The Battery life is very low, after three months of usage, the Battery goes down to 50% by just keeping in the charging box for 2-3 days even when you don't use. Another difficult part is while you are in a zoom or google meet attending some meeting or conversation and if you try and adjust its position in the ears, the top buttons of the ear drops are so big and sensitive that with light touch of your fingers, it gets you disconnected from the meeting or conversation. It's a big problem as you need to make efforts to connect to the meeting all over again. So as I said not very user friendly and convenient at all."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 25 June 2021,0 Ratings,1,"I brought airdopes in January this year. Within 5 months, left side stopped working. Within 6 months, bluetooth stopped working. I have been following up Boat to get a replacement for this as the product came with 1 year of warranty. It has been more than a month now but there is no response from them. No one answers emails, receives phone calls or reverts to my FB post even. Hate Boat. Never gonna buy again."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 23 June 2021,"Heats like hell, not recommended at all",1,"Pros:- Build quality is good- Sound quality is goodCons:- Heats like hell, can't wear it even for 15 mins- Battery drains like anything. When wear for the first time, it said battery is 100%. Within 15 mins of playback, battery went to 10%- When connect to the charging case, it's battery also drains like anything. From 55% to 1% in 5 mins- Mic quality is not good- It doesn't fit in the ears well, slipping all the time and you have to push it again and again.- I was amazed to know that product is made in China. Why should we choose an Indian company like Boat if we have to get chinese productOverall not recommended at all. It become so hot, it may damage your ear."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 2 November 2020,VALUE FOR MONEY,5,It has a verygood sound Quality I was very happy with it ... Battery life is just amazing I got 4hrs in one full change ... Value for money .. yes absolutely yes no second thought about that .. for price of 999/- u get good sound ... And battery.. light weight .. proper fit in ears ... Extra buds ... Charging cable .. decent look .. @ Amazing price..
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 16 November 2020,VFM product on offer,4,"Build quality is goodCharring case quality is good as well but the cap feels a bit loose , though serves the purposeUsed it for an hour or so and charge reduced by 25%The connection to the phone drops once in a while thoughQuality of sound is good for music or movieNoise cancellation is moderatePairing of the buds to each other and phone was hassle freeIf we take out right one first , it works like a mono pairing or only one ear . Left one first and then if right is taken out of the case , then both of them work as stereo pairingGot this for Rs999 during sale and that way it’s value for money"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 24 November 2021,Calling voice are too low,1,"The media could not be loaded.
                



 Seriously...BoatI had huge reputation over the BOAT products after seeing this lost it completelyThe battery drain too fast as like count downI have attached a video for reference after take the delivery package I was happyAfter opening it saw the charger was like going down like anythingSry to say this I can't trust boat againThanks"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 11 November 2020,Poor Battery Quality,2,"Battery life was poor. When I opened the package the battery was already on 95 and within 5 mins it went down to 90. Whereas the same product in black colour had 100 battery when opened and it remained 97 even after one week (without use). I went for replacement and the new product I received had same issue. When I opened the new product the battery was 90 and with secs it went down to 88-87, which is pathetic."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 16 July 2021,Got replacement,5,"Stopped working within months. Boat assured to pick it up and service which never happened. As there was lock down, after waiting for months, mailed them again. They again assured to pick it up, which also never happened. No more response from them for my mails sent after that.Edit:Reluctantly filed another complaint afresh. Faulty one was picked on the very next day and received a fresh one as replacement within a week. Happy."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 29 November 2021,Great product.. Great pricing,5,"Excellent product at good pricing. Bought two numbers at Great Indian Sale for 899 each.Had some apprehensions before purchase after reading some negative reviews but product is as per my expectations.Charging also good within 30 minutes or so it goes from 50% to full. I use it for 2 to 3 hours a day and charge stays for more than 4 to 5 days, sometimes even a week.If you want to use it for making calls while on the go then this may not suit you...If you are looking for entry level decent wireless bluetooth then this is the right choice."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 27 February 2021,Not a practical Dnt go with Attractive price,2,These is good buds with no practical use not fit in-ears calling is abrupt every timecan easily lose anywhere ... excited when purchase but disappointed with use go for collar  wireless headphonesThe range is worst sound is good cant use  headphones while driving when the phone is just in a pant pocketDon't pick for gaming it almost 1-sec delaycant change the music with only one earphone use... it will repeat the same song when u try to change with the buttonno volume controltrust me there is no practical use of these earphones collar wireless would be a good option
